scenario,replicate,method,topk_precision,topk_recall,set_size,shortfall
exact_bt_mild_shift,12,fixed_target_ci_certified_bt,1.0,1.0,3.0,0.0
exact_bt_mild_shift,12,ss_cbt,1.0,1.0,3.0,0.0
exact_bt_mild_shift,13,marginal_bt,0.3333333333333333,0.5,3.0,0.0
exact_bt_mild_shift,13,source_contextual_bt,0.3333333333333333,0.5,3.0,0.0
exact_bt_mild_shift,13,fixed_target_contextual_bt,0.6666666666666666,1.0,3.0,0.0
exact_bt_mild_shift,13,fixed_target_ci_certified_bt,0.0,0.0,1.0,0.6666666666666666
exact_bt_mild_shift,13,ss_cbt,0.5,0.5,2.0,0.3333333333333333
exact_bt_mild_shift,14,marginal_bt,1.0,1.0,3.0,0.0
exact_bt_mild_shift,14,source_contextual_bt,1.0,1.0,3.0,0.0
exact_bt_mild_shift,14,fixed_target_contextual_bt,1.0,1.0,3.0,0.0
exact_bt_mild_shift,14,fixed_target_ci_certified_bt,1.0,1.0,3.0,0.0
exact_bt_mild_shift,14,ss_cbt,1.0,1.0,3.0,0.0
exact_bt_mild_shift,15,marginal_bt,0.6666666666666666,1.0,3.0,0.0
exact_bt_mild_shift,15,source_contextual_bt,0.6666666666666666,1.0,3.0,0.0
exact_bt_mild_shift,15,fixed_target_contextual_bt,0.6666666666666666,1.0,3.0,0.0
exact_bt_mild_shift,15,fixed_target_ci_certified_bt,1.0,1.0,2.0,0.3333333333333333
exact_bt_mild_shift,15,ss_cbt,1.0,1.0,2.0,0.3333333333333333
exact_bt_mild_shift,16,marginal_bt,0.6666666666666666,1.0,3.0,0.0
exact_bt_mild_shift,16,source_contextual_bt,0.6666666666666666,1.0,3.0,0.0
exact_bt_mild_shift,16,fixed_target_contextual_bt,0.6666666666666666,1.0,3.0,0.0
exact_bt_mild_shift,16,fixed_target_ci_certified_bt,0.5,0.5,2.0,0.3333333333333333
exact_bt_mild_shift,16,ss_cbt,0.5,0.5,2.0,0.3333333333333333
exact_bt_mild_shift,17,marginal_bt,0.3333333333333333,0.5,3.0,0.0
exact_bt_mild_shift,17,source_contextual_bt,0.3333333333333333,0.5,3.0,0.0
exact_bt_mild_shift,17,fixed_target_contextual_bt,0.3333333333333333,0.5,3.0,0.0
