scenario,method,topk_precision,topk_recall,avg_set_size,avg_shortfall
exact_bt_mild_shift,fixed_target_ci_certified_bt,0.8518518518518519,0.75,2.25,0.25
exact_bt_mild_shift,fixed_target_contextual_bt,0.7592592592592592,0.8935185185185185,3.0,0.0
exact_bt_mild_shift,marginal_bt,0.7685185185185185,0.8981481481481483,3.0,0.0
exact_bt_mild_shift,source_contextual_bt,0.75,0.8703703703703703,3.0,0.0
exact_bt_mild_shift,ss_cbt,0.8240740740740741,0.8055555555555556,2.5277777777777777,0.15740740740740738
low_overlap_sparse,fixed_target_ci_certified_bt,0.6759259259259259,0.5416666666666666,1.5833333333333333,0.4722222222222222
low_overlap_sparse,fixed_target_contextual_bt,0.6666666666666666,0.8518518518518519,3.0,0.0
low_overlap_sparse,marginal_bt,0.6203703703703703,0.8055555555555556,3.0,0.0
low_overlap_sparse,source_contextual_bt,0.6481481481481481,0.8379629629629629,3.0,0.0
low_overlap_sparse,ss_cbt,0.7083333333333334,0.7361111111111112,2.361111111111111,0.21296296296296294
misspecified_shift,fixed_target_ci_certified_bt,0.7731481481481481,0.6064814814814814,1.8888888888888888,0.37037037037037035
misspecified_shift,fixed_target_contextual_bt,0.7129629629629629,0.8148148148148148,3.0,0.0
misspecified_shift,marginal_bt,0.7407407407407407,0.8518518518518519,3.0,0.0
misspecified_shift,source_contextual_bt,0.7222222222222222,0.8240740740740741,3.0,0.0
misspecified_shift,ss_cbt,0.7962962962962963,0.7314814814814814,2.4166666666666665,0.19444444444444445
