scenario,method,coverage,declaration_rate,correct_rate,false_stable_rate,stable_recall
exact_bt_mild_shift,fixed_target_ci_certified_bt,0.5218253968253969,0.8174603174603174,0.7420634920634921,0.09223300970873786,0.7420634920634921
exact_bt_mild_shift,fixed_target_contextual_bt,0.5218253968253969,0.8174603174603174,0.7420634920634921,0.09223300970873786,0.7420634920634921
exact_bt_mild_shift,marginal_bt,0.4305555555555556,0.8432539682539683,0.7509920634920635,0.10941176470588235,0.7509920634920635
exact_bt_mild_shift,source_contextual_bt,0.4017857142857143,0.8472222222222222,0.751984126984127,0.11241217798594848,0.751984126984127
exact_bt_mild_shift,ss_cbt,0.7152777777777778,0.6964285714285714,0.6448412698412699,0.07407407407407407,0.6448412698412699
low_overlap_sparse,fixed_target_ci_certified_bt,0.5912698412698413,0.6924603174603174,0.6408730158730159,0.07449856733524356,0.6408730158730159
low_overlap_sparse,fixed_target_contextual_bt,0.5912698412698413,0.6924603174603174,0.6408730158730159,0.07449856733524356,0.6408730158730159
low_overlap_sparse,marginal_bt,0.2638888888888889,0.8442460317460317,0.6934523809523809,0.17861339600470036,0.6934523809523809
low_overlap_sparse,source_contextual_bt,0.27976190476190477,0.8373015873015873,0.6964285714285714,0.16824644549763032,0.6964285714285714
low_overlap_sparse,ss_cbt,0.748015873015873,0.5753968253968254,0.5426587301587301,0.056896551724137934,0.5426587301587301
misspecified_shift,fixed_target_ci_certified_bt,0.5248015873015873,0.7718253968253969,0.6934523809523809,0.10154241645244216,0.6934523809523809
misspecified_shift,fixed_target_contextual_bt,0.5248015873015873,0.7718253968253969,0.6934523809523809,0.10154241645244216,0.6934523809523809
misspecified_shift,marginal_bt,0.310515873015873,0.8462301587301587,0.7123015873015873,0.15826494724501758,0.7123015873015873
misspecified_shift,source_contextual_bt,0.3263888888888889,0.8422619047619048,0.7113095238095238,0.15547703180212014,0.7113095238095238
misspecified_shift,ss_cbt,0.7093253968253969,0.6448412698412699,0.5962301587301587,0.07538461538461538,0.5962301587301587
