mixture,model_i,model_j,fixed_contrast,robust_lower,robust_upper,stable_order
source_mix,claude-opus-4-20250514,gemini-2.5-pro,-1.0049898683573861,-1.0697119903584003,-0.9522361308891416,1
source_mix,claude-opus-4-20250514,gemini-2.5-flash,-0.38940607854698844,-0.4526892936854442,-0.34652819447823446,1
source_mix,claude-opus-4-20250514,qwen3-235b-a22b-no-thinking,-0.2520531006681897,-0.26167381019986136,-0.24020793350955416,1
source_mix,claude-opus-4-20250514,mistral-medium-2505,-0.12079971851676746,-0.15846137055951384,-0.07823247477499101,1
source_mix,claude-opus-4-20250514,o3-2025-04-16,-0.5725896103662167,-0.616162131620409,-0.536372293561002,1
source_mix,claude-opus-4-20250514,claude-sonnet-4-20250514,0.2683972244076989,0.21725138149003026,0.30439897388416787,1
source_mix,claude-opus-4-20250514,chatgpt-4o-latest-20250326,-0.6307252497234079,-0.6567374638500999,-0.6072967738740624,1
source_mix,gemini-2.5-pro,gemini-2.5-flash,0.6155837898103979,0.5783735321794593,0.6494307773573217,1
source_mix,gemini-2.5-pro,qwen3-235b-a22b-no-thinking,0.7529367676891966,0.6968470624914818,0.8163769691848619,1
source_mix,gemini-2.5-pro,mistral-medium-2505,0.8841901498406189,0.8211326928896465,0.9650796552756978,1
source_mix,gemini-2.5-pro,o3-2025-04-16,0.43240025799116955,0.40714651878816094,0.47057853938518807,1
source_mix,gemini-2.5-pro,claude-sonnet-4-20250514,1.273387092765085,1.2164688733855957,1.326917960492961,1
source_mix,gemini-2.5-pro,chatgpt-4o-latest-20250326,0.3742646186339783,0.3339712739229191,0.42296048417634463,1
source_mix,gemini-2.5-flash,qwen3-235b-a22b-no-thinking,0.13735297787879874,0.10056709729763998,0.19551145256837305,1
source_mix,gemini-2.5-flash,mistral-medium-2505,0.268606360030221,0.19667421523762912,0.352591783482664,1
source_mix,gemini-2.5-flash,o3-2025-04-16,-0.18318353181922825,-0.21496802356596253,-0.13854819043536348,1
source_mix,gemini-2.5-flash,claude-sonnet-4-20250514,0.6578033029546875,0.6161845922407131,0.7058946296786538,1
source_mix,gemini-2.5-flash,chatgpt-4o-latest-20250326,-0.24131917117641954,-0.2797572287780147,-0.19200680593136685,1
source_mix,qwen3-235b-a22b-no-thinking,mistral-medium-2505,0.13125338215142218,0.09268092734580552,0.17792844283990852,1
source_mix,qwen3-235b-a22b-no-thinking,o3-2025-04-16,-0.320536509698027,-0.36241108346379963,-0.2823733704516078,1
