ss_cbt_stable_pair_precision,ss_cbt_topk_f1,ss_cbt_avg_set_size,matched_ci_z,matched_ci_stable_pair_precision,matched_ci_topk_f1,matched_ci_avg_set_size,benchmark
0.9833333333333334,1.0,3.0,0.1,0.9333333333333333,1.0,3.0,mt_bench
0.9256383712905452,0.7333333333333334,2.0,0.25,0.9077380952380952,0.7333333333333333,2.0,arena_language
0.7648823970158619,0.96,2.2,0.25,0.743982730863703,0.9199999999999999,2.4,atp_surface
0.7619598001898341,0.9199999999999999,2.4,0.5,0.7617980433953078,0.7133333333333334,2.4,wta_surface
