mixture,model_i,model_j,fixed_contrast,robust_lower,robust_upper,stable_order
source_mix,Andrey Rublev,Stefanos Tsitsipas,0.22206211344237153,0.09527927936628183,0.46468024504753735,1
source_mix,Andrey Rublev,Jannik Sinner,-0.46547792790239073,-0.5747964015617579,-0.38113312539309535,1
source_mix,Andrey Rublev,Daniil Medvedev,-0.36983827361584076,-0.5920378417529732,-0.18613535695375683,1
source_mix,Andrey Rublev,Alexander Zverev,-0.13929977344726294,-0.1796062165490088,-0.09016301707825043,1
source_mix,Andrey Rublev,Casper Ruud,0.32331322232534493,0.27493065167636416,0.4186892518677194,1
source_mix,Andrey Rublev,Taylor Fritz,0.33783308139799956,0.14907793473230482,0.5265882280636942,1
source_mix,Andrey Rublev,Alex De Minaur,0.18685832269326563,0.09250723879636139,0.2812094065901699,1
source_mix,Andrey Rublev,Carlos Alcaraz,-0.5354450403094955,-0.6956901252678218,-0.4321748723618624,1
source_mix,Andrey Rublev,Cameron Norrie,0.5948461526534168,0.477641113725251,0.7110748839138719,1
source_mix,Andrey Rublev,Hubert Hurkacz,1.1398732868181776,0.5921405908170441,1.6171822020668947,1
source_mix,Andrey Rublev,Felix Auger Aliassime,-0.1335842697568539,-0.36673669672463893,0.04110652809905303,0
source_mix,Andrey Rublev,Tommy Paul,0.6940622500357064,0.5078472301918573,0.8701469856229582,1
source_mix,Andrey Rublev,Frances Tiafoe,0.8648314709282209,0.7995271703876053,0.9301357714688365,1
source_mix,Andrey Rublev,Lorenzo Musetti,0.5344408455820158,0.486064123031338,0.589820368996616,1
source_mix,Andrey Rublev,Karen Khachanov,0.9471631472530179,0.917143960510553,0.9633450211633099,1
source_mix,Andrey Rublev,Alexander Bublik,1.44780174803088,1.032906910088477,1.8626965859732831,1
source_mix,Andrey Rublev,Novak Djokovic,-1.1964691274711103,-1.3523541772954373,-1.089492245873823,1
source_mix,Andrey Rublev,Lorenzo Sonego,1.1176352740167013,1.0579096841307818,1.177360863902621,1
source_mix,Andrey Rublev,Miomir Kecmanovic,1.3350563958149202,1.2171597848720628,1.5617500444717491,1
source_mix,Stefanos Tsitsipas,Jannik Sinner,-0.6875400413447623,-1.0394766466092953,-0.47641240475937724,1
source_mix,Stefanos Tsitsipas,Daniil Medvedev,-0.5919003870582122,-1.0567180868005104,-0.2814146363200386,1
source_mix,Stefanos Tsitsipas,Alexander Zverev,-0.3613618868896345,-0.5881150599046199,-0.22677346719139535,1
source_mix,Stefanos Tsitsipas,Casper Ruud,0.10125110888297337,-0.04599099317981803,0.17965137231008232,0
source_mix,Stefanos Tsitsipas,Taylor Fritz,0.11577096795562794,-0.30605231312696773,0.4265339501032802,0
source_mix,Stefanos Tsitsipas,Alex De Minaur,-0.03520379074910593,-0.31205214697998895,0.1558696975882946,0
source_mix,Stefanos Tsitsipas,Carlos Alcaraz,-0.7575071537518672,-1.1603703703153592,-0.5274541517281442,1
source_mix,Stefanos Tsitsipas,Cameron Norrie,0.3727840392110452,0.012960868677713622,0.6157956045475901,1
source_mix,Stefanos Tsitsipas,Hubert Hurkacz,0.917811173375806,0.1274603457695065,1.5219029227006124,1
source_mix,Stefanos Tsitsipas,Felix Auger Aliassime,-0.3556463831992255,-0.8314169417721763,-0.05417275126722887,1
source_mix,Stefanos Tsitsipas,Tommy Paul,0.47200013659333484,0.04316698514431999,0.7748677062566763,1
source_mix,Stefanos Tsitsipas,Frances Tiafoe,0.6427693574858493,0.3468107265436331,0.8288745915007723,1
source_mix,Stefanos Tsitsipas,Lorenzo Musetti,0.31237873213964423,0.09297795729028524,0.43729231213419467,1
source_mix,Stefanos Tsitsipas,Karen Khachanov,0.7251010338106464,0.4549420303791602,0.8644820232608369,1
source_mix,Stefanos Tsitsipas,Alexander Bublik,1.2257396345885088,0.6326216654135954,1.735219806420674,1
source_mix,Stefanos Tsitsipas,Novak Djokovic,-1.4185312409134818,-1.8170344223429744,-1.1847715252401048,1
source_mix,Stefanos Tsitsipas,Lorenzo Sonego,0.89557316057433,0.6276100768425718,1.0648912656566756,1
source_mix,Stefanos Tsitsipas,Miomir Kecmanovic,1.1129942823725485,1.0874511086278127,1.135789424132866,1
source_mix,Jannik Sinner,Daniil Medvedev,0.09563965428654997,-0.01724144019121529,0.1949977684393386,0
source_mix,Jannik Sinner,Alexander Zverev,0.32617815445512777,0.24963893756798183,0.4513615867046755,1
source_mix,Jannik Sinner,Casper Ruud,0.7887911502277356,0.6560637770694595,0.9934856534294773,1
source_mix,Jannik Sinner,Taylor Fritz,0.8033110093003902,0.673926993993919,0.9326950246068616,1
source_mix,Jannik Sinner,Alex De Minaur,0.6523362505956565,0.5788143955456155,0.7644000081580573,1
source_mix,Jannik Sinner,Carlos Alcaraz,-0.06996711240710482,-0.13471556430331033,-0.031054946247860347,1
source_mix,Jannik Sinner,Cameron Norrie,1.0603240805558074,1.0044427883222866,1.1162053727893282,1
source_mix,Jannik Sinner,Hubert Hurkacz,1.6053512147205684,1.166936992378802,1.99831532745999,1
source_mix,Jannik Sinner,Felix Auger Aliassime,0.33189365814553684,0.208059704837119,0.4222396534921484,1
source_mix,Jannik Sinner,Tommy Paul,1.1595401779380972,1.0529568579666666,1.2661234979095275,1
source_mix,Jannik Sinner,Frances Tiafoe,1.3303093988306116,1.2962180031031134,1.3925590211042163,1
