method,stable_pair_precision,stable_pair_recall,topk_precision,topk_recall,topk_f1,avg_set_size
fixed_target_ci_certified_bt,0.8868544203950274,0.5349397590361445,0.8,0.4,0.5333333333333333,1.0
fixed_target_contextual_bt,0.6916666666666667,1.0,0.6666666666666666,1.0,0.8,3.0
marginal_bt,0.6416666666666667,0.927710843373494,0.6666666666666666,1.0,0.8,3.0
source_contextual_bt,0.6916666666666667,1.0,0.6666666666666666,1.0,0.8,3.0
ss_cbt,0.7619598001898341,0.9783132530120483,0.8666666666666666,1.0,0.9199999999999999,2.4
