mixture,model_i,model_j,fixed_contrast,robust_lower,robust_upper,stable_order
source_mix,claude-opus-4-20250514,gemini-2.5-pro,-1.0049898683573861,-1.0560173656604128,-0.9651038238257096,1
source_mix,claude-opus-4-20250514,gemini-2.5-flash,-0.38940607854698844,-0.4369886137568839,-0.354987899678857,1
source_mix,claude-opus-4-20250514,qwen3-235b-a22b-no-thinking,-0.2520531006681897,-0.25897971835953193,-0.2438161904684905,1
source_mix,claude-opus-4-20250514,mistral-medium-2505,-0.12079971851676746,-0.14661025273585584,-0.0942567481752434,1
source_mix,claude-opus-4-20250514,o3-2025-04-16,-0.5725896103662167,-0.6082532276772272,-0.545683810382283,1
source_mix,claude-opus-4-20250514,claude-sonnet-4-20250514,0.2683972244076989,0.2252490395422922,0.2969461676466862,1
source_mix,claude-opus-4-20250514,chatgpt-4o-latest-20250326,-0.6307252497234079,-0.6511668015830114,-0.6139937440330187,1
source_mix,gemini-2.5-pro,gemini-2.5-flash,0.6155837898103979,0.589868570175778,0.643254589411139,1
source_mix,gemini-2.5-pro,qwen3-235b-a22b-no-thinking,0.7529367676891966,0.7115077018704726,0.8035165372454128,1
source_mix,gemini-2.5-pro,mistral-medium-2505,0.8841901498406189,0.8370593702419061,0.9436720509514969,1
source_mix,gemini-2.5-pro,o3-2025-04-16,0.43240025799116955,0.4085105058402037,0.4647934680940291,1
source_mix,gemini-2.5-pro,claude-sonnet-4-20250514,1.273387092765085,1.2351420353111815,1.3175174240163752,1
source_mix,gemini-2.5-pro,chatgpt-4o-latest-20250326,0.3742646186339783,0.34432002584526855,0.40826541892037216,1
source_mix,gemini-2.5-flash,qwen3-235b-a22b-no-thinking,0.13735297787879874,0.10636402241894093,0.1822371210883011,1
source_mix,gemini-2.5-flash,mistral-medium-2505,0.268606360030221,0.21911435399121668,0.32974280455534405,1
source_mix,gemini-2.5-flash,o3-2025-04-16,-0.18318353181922825,-0.20984692123867144,-0.14889446652715435,1
source_mix,gemini-2.5-flash,claude-sonnet-4-20250514,0.6578033029546875,0.6283967031859894,0.6946761416308354,1
source_mix,gemini-2.5-flash,chatgpt-4o-latest-20250326,-0.24131917117641954,-0.2693972210613315,-0.2067190200994655,1
source_mix,qwen3-235b-a22b-no-thinking,mistral-medium-2505,0.13125338215142218,0.10299500829684594,0.16035779772173192,1
source_mix,qwen3-235b-a22b-no-thinking,o3-2025-04-16,-0.320536509698027,-0.3548443798632823,-0.29271762533282913,1
source_mix,qwen3-235b-a22b-no-thinking,claude-sonnet-4-20250514,0.5204503250758885,0.47265657547772194,0.5540480253342501,1
source_mix,qwen3-235b-a22b-no-thinking,chatgpt-4o-latest-20250326,-0.3786721490552184,-0.39699150361471935,-0.3649771994078942,1
source_mix,mistral-medium-2505,o3-2025-04-16,-0.4517898918494492,-0.4898331647585093,-0.4175976555989204,1
source_mix,mistral-medium-2505,claude-sonnet-4-20250514,0.3891969429244664,0.3274326425558787,0.43768947420689797,1
source_mix,mistral-medium-2505,chatgpt-4o-latest-20250326,-0.5099255312066405,-0.5415283657320867,-0.48383509945165853,1
source_mix,o3-2025-04-16,claude-sonnet-4-20250514,0.8409868347739156,0.7827770547064645,0.9000691000387915,1
source_mix,o3-2025-04-16,chatgpt-4o-latest-20250326,-0.058135639357191314,-0.08313541395469785,-0.029168388997517763,1
