method,stable_pair_precision,stable_pair_recall,topk_precision,topk_recall,avg_set_size
fixed_target_ci_certified_bt,0.9607692307692308,0.9479166666666666,0.7916666666666666,0.625,1.75
fixed_target_contextual_bt,0.8571428571428571,1.0,0.6666666666666666,1.0,3.0
marginal_bt,0.8571428571428571,1.0,0.6666666666666666,1.0,3.0
source_contextual_bt,0.8571428571428571,1.0,0.6666666666666666,1.0,3.0
ss_cbt,0.8968685300207039,0.9583333333333333,0.8333333333333333,0.875,2.25
