scenario,method,coverage,false_stable_rate,declaration_rate,topk_recall,avg_set_size
exact_bt_mild_shift,fixed_target_contextual_bt,0.5099206349206349,0.0932203389830508,0.8194444444444444,0.824074074074074,3.0
exact_bt_mild_shift,marginal_bt,0.433531746031746,0.1096698113207547,0.8412698412698413,0.7962962962962963,3.0
exact_bt_mild_shift,source_contextual_bt,0.4067460317460317,0.1170336037079953,0.8561507936507936,0.8055555555555556,3.0
exact_bt_mild_shift,ss_cbt,0.3561507936507936,0.1018099547511312,0.876984126984127,0.6203703703703703,2.138888888888889
low_overlap_sparse,fixed_target_contextual_bt,0.748015873015873,0.0581583198707592,0.6140873015873016,0.787037037037037,3.0
low_overlap_sparse,marginal_bt,0.2678571428571428,0.1784037558685446,0.8452380952380952,0.7314814814814814,3.0
low_overlap_sparse,source_contextual_bt,0.2986111111111111,0.166465621230398,0.8224206349206349,0.75,3.0
low_overlap_sparse,ss_cbt,0.2589285714285714,0.118510158013544,0.878968253968254,0.5555555555555556,2.0
misspecified_shift,fixed_target_contextual_bt,0.5972222222222222,0.0937912813738441,0.7509920634920635,0.7962962962962963,3.0
misspecified_shift,marginal_bt,0.310515873015873,0.1582649472450175,0.8462301587301587,0.787037037037037,3.0
misspecified_shift,source_contextual_bt,0.3363095238095238,0.1545778834720571,0.8343253968253969,0.7592592592592592,3.0
misspecified_shift,ss_cbt,0.2509920634920635,0.1368186874304783,0.8918650793650794,0.5555555555555556,1.9166666666666667
