scenario,replicate,method,pair,true_contrast,lower,upper,coverage,declared,correct_declaration,false_stable
exact_bt_mild_shift,0,ss_cbt,1-4,0.18311256186942657,-0.28700802709182116,0.13586036314065836,0.0,0.0,0.0,0.0
exact_bt_mild_shift,0,marginal_bt,1-5,0.2615326643255774,0.30053481467042725,0.78798217034345,0.0,1.0,1.0,0.0
exact_bt_mild_shift,0,source_contextual_bt,1-5,0.2615326643255774,0.1826205795280253,0.7521342266176834,1.0,1.0,1.0,0.0
exact_bt_mild_shift,0,fixed_target_contextual_bt,1-5,0.2615326643255774,-0.4308744430561962,0.27275581379480746,1.0,0.0,0.0,0.0
exact_bt_mild_shift,0,ss_cbt,1-5,0.2615326643255774,-0.5013331827388121,0.3432145534774236,1.0,0.0,0.0,0.0
exact_bt_mild_shift,0,marginal_bt,1-6,-1.491975909156622,-1.4219493773726009,-0.8612249348034974,0.0,1.0,1.0,0.0
exact_bt_mild_shift,0,source_contextual_bt,1-6,-1.491975909156622,-1.819652237681177,-1.1370735175935596,1.0,1.0,1.0,0.0
exact_bt_mild_shift,0,fixed_target_contextual_bt,1-6,-1.491975909156622,-2.2351368917533665,-1.422604373903216,1.0,1.0,1.0,0.0
exact_bt_mild_shift,0,ss_cbt,1-6,-1.491975909156622,-2.0148885570027475,-1.642852708653835,0.0,1.0,1.0,0.0
exact_bt_mild_shift,0,marginal_bt,1-7,-0.37950447066430193,-0.12731686140740675,0.3397241693719393,0.0,0.0,0.0,0.0
exact_bt_mild_shift,0,source_contextual_bt,1-7,-0.37950447066430193,-0.24333246236428896,0.28419507267775224,0.0,0.0,0.0,0.0
exact_bt_mild_shift,0,fixed_target_contextual_bt,1-7,-0.37950447066430193,-0.7739750657715961,-0.13868719123032391,1.0,1.0,1.0,0.0
exact_bt_mild_shift,0,ss_cbt,1-7,-0.37950447066430193,-0.764574459047161,-0.148087797954759,1.0,1.0,1.0,0.0
exact_bt_mild_shift,0,marginal_bt,2-3,-0.07751263802583647,-0.2877613028269241,0.2030295675715032,1.0,0.0,0.0,0.0
exact_bt_mild_shift,0,source_contextual_bt,2-3,-0.07751263802583647,-0.2766095857972083,0.2543673125311037,1.0,0.0,0.0,0.0
exact_bt_mild_shift,0,fixed_target_contextual_bt,2-3,-0.07751263802583647,0.06730545568053276,0.6858211008940647,0.0,1.0,0.0,1.0
exact_bt_mild_shift,0,ss_cbt,2-3,-0.07751263802583647,0.1346514717233292,0.6184750848512683,0.0,1.0,0.0,1.0
exact_bt_mild_shift,0,marginal_bt,2-4,-0.2369618254279901,-0.6505924961283273,-0.17124488104037175,1.0,1.0,1.0,0.0
exact_bt_mild_shift,0,source_contextual_bt,2-4,-0.2369618254279901,-0.6504200448354545,-0.1339612728389148,1.0,1.0,1.0,0.0
exact_bt_mild_shift,0,fixed_target_contextual_bt,2-4,-0.2369618254279901,-0.37919990897176614,0.19820370156237743,1.0,0.0,0.0,0.0
exact_bt_mild_shift,0,ss_cbt,2-4,-0.2369618254279901,-0.2587187374216184,0.0777225300122297,1.0,0.0,0.0,0.0
exact_bt_mild_shift,0,marginal_bt,2-5,-0.1585417229718393,-0.29900240027800284,0.19444859432323572,1.0,0.0,0.0,0.0
exact_bt_mild_shift,0,source_contextual_bt,2-5,-0.1585417229718393,-0.31217794612087796,0.2371601688949912,1.0,0.0,0.0,0.0
exact_bt_mild_shift,0,fixed_target_contextual_bt,2-5,-0.1585417229718393,-0.40684215866525963,0.21887498594564495,1.0,0.0,0.0,0.0
