scenario,method,coverage,declaration_rate,correct_rate,false_stable_rate,stable_recall,topk_precision,topk_recall,avg_set_size,avg_shortfall
exact_bt_mild_shift,fixed_target_contextual_bt,0.5099206349206349,0.8194444444444444,0.7430555555555556,0.0932203389830508,0.7430555555555556,0.824074074074074,0.824074074074074,3.0,0.0
exact_bt_mild_shift,marginal_bt,0.433531746031746,0.8412698412698413,0.7490079365079365,0.1096698113207547,0.7490079365079365,0.7962962962962963,0.7962962962962963,3.0,0.0
exact_bt_mild_shift,source_contextual_bt,0.4067460317460317,0.8561507936507936,0.7559523809523809,0.1170336037079953,0.7559523809523809,0.8055555555555556,0.8055555555555556,3.0,0.0
exact_bt_mild_shift,ss_cbt,0.3561507936507936,0.876984126984127,0.7876984126984127,0.1018099547511312,0.7876984126984127,0.8472222222222222,0.6203703703703703,2.138888888888889,0.287037037037037
low_overlap_sparse,fixed_target_contextual_bt,0.748015873015873,0.6140873015873016,0.5783730158730159,0.0581583198707592,0.5783730158730159,0.787037037037037,0.787037037037037,3.0,0.0
low_overlap_sparse,marginal_bt,0.2678571428571428,0.8452380952380952,0.6944444444444444,0.1784037558685446,0.6944444444444444,0.7314814814814814,0.7314814814814814,3.0,0.0
low_overlap_sparse,source_contextual_bt,0.2986111111111111,0.8224206349206349,0.685515873015873,0.166465621230398,0.685515873015873,0.75,0.75,3.0,0.0
low_overlap_sparse,ss_cbt,0.2589285714285714,0.878968253968254,0.7748015873015873,0.118510158013544,0.7748015873015873,0.7638888888888888,0.5555555555555556,2.0,0.3333333333333333
misspecified_shift,fixed_target_contextual_bt,0.5972222222222222,0.7509920634920635,0.6805555555555556,0.0937912813738441,0.6805555555555556,0.7962962962962963,0.7962962962962963,3.0,0.0
misspecified_shift,marginal_bt,0.310515873015873,0.8462301587301587,0.7123015873015873,0.1582649472450175,0.7123015873015873,0.787037037037037,0.787037037037037,3.0,0.0
misspecified_shift,source_contextual_bt,0.3363095238095238,0.8343253968253969,0.7053571428571429,0.1545778834720571,0.7053571428571429,0.7592592592592592,0.7592592592592592,3.0,0.0
misspecified_shift,ss_cbt,0.2509920634920635,0.8918650793650794,0.7698412698412699,0.1368186874304783,0.7698412698412699,0.8148148148148148,0.5555555555555556,1.9166666666666667,0.3611111111111111
