scenario,method,coverage,declaration_rate,correct_rate,false_stable_rate,stable_recall
exact_bt_mild_shift,fixed_target_contextual_bt,0.5099206349206349,0.8194444444444444,0.7430555555555556,0.09322033898305085,0.7430555555555556
exact_bt_mild_shift,marginal_bt,0.43353174603174605,0.8412698412698413,0.7490079365079365,0.10966981132075472,0.7490079365079365
exact_bt_mild_shift,source_contextual_bt,0.40674603174603174,0.8561507936507936,0.7559523809523809,0.11703360370799537,0.7559523809523809
exact_bt_mild_shift,ss_cbt,0.35615079365079366,0.876984126984127,0.7876984126984127,0.10180995475113122,0.7876984126984127
low_overlap_sparse,fixed_target_contextual_bt,0.748015873015873,0.6140873015873016,0.5783730158730159,0.05815831987075929,0.5783730158730159
low_overlap_sparse,marginal_bt,0.26785714285714285,0.8452380952380952,0.6944444444444444,0.1784037558685446,0.6944444444444444
low_overlap_sparse,source_contextual_bt,0.2986111111111111,0.8224206349206349,0.685515873015873,0.16646562123039807,0.685515873015873
low_overlap_sparse,ss_cbt,0.25892857142857145,0.878968253968254,0.7748015873015873,0.11851015801354402,0.7748015873015873
misspecified_shift,fixed_target_contextual_bt,0.5972222222222222,0.7509920634920635,0.6805555555555556,0.09379128137384413,0.6805555555555556
misspecified_shift,marginal_bt,0.310515873015873,0.8462301587301587,0.7123015873015873,0.15826494724501758,0.7123015873015873
misspecified_shift,source_contextual_bt,0.33630952380952384,0.8343253968253969,0.7053571428571429,0.1545778834720571,0.7053571428571429
misspecified_shift,ss_cbt,0.2509920634920635,0.8918650793650794,0.7698412698412699,0.13681868743047831,0.7698412698412699
