method,stable_pair_precision,stable_pair_recall,topk_precision,topk_recall,topk_f1,avg_set_size
fixed_target_ci_certified_bt,0.9048690274072279,0.6075187969924812,0.8,0.4,0.5333333333333333,0.8
fixed_target_contextual_bt,0.7,1.0,0.6666666666666666,1.0,0.8,3.0
marginal_bt,0.6631578947368421,0.9473684210526315,0.6666666666666666,1.0,0.8,3.0
source_contextual_bt,0.7,1.0,0.6666666666666666,1.0,0.8,3.0
ss_cbt,0.8034063184702391,0.9699248120300752,0.9333333333333332,1.0,0.96,2.2
