scenario,replicate,method,pair,true_contrast,lower,upper,coverage,declared,correct_declaration,false_stable
exact_bt_mild_shift,0,fixed_target_ci_certified_bt,1-2,0.42007438729741675,-0.35514670895877953,0.3359250776010795,0.0,0.0,0.0,0.0
exact_bt_mild_shift,0,ss_cbt,1-2,0.42007438729741675,-0.722706488595593,0.7034848572378931,1.0,0.0,0.0,0.0
exact_bt_mild_shift,0,marginal_bt,1-3,0.3425617492715803,0.31118518264523426,0.7971538730679881,1.0,1.0,1.0,0.0
exact_bt_mild_shift,0,source_contextual_bt,1-3,0.3425617492715803,0.202905333844845,0.7447599705835202,1.0,1.0,1.0,0.0
exact_bt_mild_shift,0,fixed_target_contextual_bt,1-3,0.3425617492715803,0.026939830244510576,0.6823236151293266,1.0,1.0,1.0,0.0
exact_bt_mild_shift,0,fixed_target_ci_certified_bt,1-3,0.3425617492715803,0.026939830244510576,0.6823236151293266,1.0,1.0,1.0,0.0
exact_bt_mild_shift,0,ss_cbt,1-3,0.3425617492715803,-0.11570247794950064,0.824965923323338,1.0,0.0,0.0,0.0
exact_bt_mild_shift,0,marginal_bt,1-4,0.18311256186942657,-0.05097303368749001,0.42220644748743524,1.0,0.0,0.0,0.0
exact_bt_mild_shift,0,source_contextual_bt,1-4,0.18311256186942657,-0.10484789976109579,0.4180583175400572,1.0,0.0,0.0,0.0
exact_bt_mild_shift,0,fixed_target_contextual_bt,1-4,0.18311256186942657,-0.3681152638482949,0.26842194551823656,1.0,0.0,0.0,0.0
exact_bt_mild_shift,0,fixed_target_ci_certified_bt,1-4,0.18311256186942657,-0.3681152638482949,0.26842194551823656,1.0,0.0,0.0,0.0
exact_bt_mild_shift,0,ss_cbt,1-4,0.18311256186942657,-0.6392020144036874,0.5395086960736291,1.0,0.0,0.0,0.0
exact_bt_mild_shift,0,marginal_bt,1-5,0.2615326643255774,0.3036108724343449,0.7849061125795325,0.0,1.0,1.0,0.0
exact_bt_mild_shift,0,source_contextual_bt,1-5,0.2615326643255774,0.18640920702407154,0.791113424946347,1.0,1.0,1.0,0.0
exact_bt_mild_shift,0,fixed_target_contextual_bt,1-5,0.2615326643255774,-0.4581291317839039,0.35506398625948876,1.0,0.0,0.0,0.0
exact_bt_mild_shift,0,fixed_target_ci_certified_bt,1-5,0.2615326643255774,-0.4581291317839039,0.35506398625948876,1.0,0.0,0.0,0.0
exact_bt_mild_shift,0,ss_cbt,1-5,0.2615326643255774,-0.9230683754938421,0.8200032299694272,1.0,0.0,0.0,0.0
exact_bt_mild_shift,0,marginal_bt,1-6,-1.491975909156622,-1.418672787679009,-0.8645015244970895,0.0,1.0,1.0,0.0
exact_bt_mild_shift,0,source_contextual_bt,1-6,-1.491975909156622,-1.8221756433966854,-1.1410466897091016,1.0,1.0,1.0,0.0
exact_bt_mild_shift,0,fixed_target_contextual_bt,1-6,-1.491975909156622,-2.2379353935047455,-1.4161626172064552,1.0,1.0,1.0,0.0
exact_bt_mild_shift,0,fixed_target_ci_certified_bt,1-6,-1.491975909156622,-2.2379353935047455,-1.4161626172064552,1.0,1.0,1.0,0.0
exact_bt_mild_shift,0,ss_cbt,1-6,-1.491975909156622,-2.4442449233162895,-1.2098530873949116,1.0,1.0,1.0,0.0
exact_bt_mild_shift,0,marginal_bt,1-7,-0.37950447066430193,-0.12526181657416063,0.3376691245386929,0.0,0.0,0.0,0.0
exact_bt_mild_shift,0,source_contextual_bt,1-7,-0.37950447066430193,-0.2549746289154397,0.30278993605648546,0.0,0.0,0.0,0.0
exact_bt_mild_shift,0,fixed_target_contextual_bt,1-7,-0.37950447066430193,-0.8275527709092106,-0.11754692570268022,1.0,1.0,1.0,0.0
exact_bt_mild_shift,0,fixed_target_ci_certified_bt,1-7,-0.37950447066430193,-0.8275527709092106,-0.11754692570268022,1.0,1.0,1.0,0.0
exact_bt_mild_shift,0,ss_cbt,1-7,-0.37950447066430193,-1.1836868888560432,0.2385871922441522,1.0,0.0,0.0,0.0
exact_bt_mild_shift,0,marginal_bt,2-3,-0.07751263802583647,-0.2888586988254732,0.20412696357005164,1.0,0.0,0.0,0.0
exact_bt_mild_shift,0,source_contextual_bt,2-3,-0.07751263802583647,-0.2940839506249461,0.25598679230811117,1.0,0.0,0.0,0.0
exact_bt_mild_shift,0,fixed_target_contextual_bt,2-3,-0.07751263802583647,0.036974949418401404,0.691510127313136,0.0,1.0,0.0,1.0
exact_bt_mild_shift,0,fixed_target_ci_certified_bt,2-3,-0.07751263802583647,0.036974949418401404,0.691510127313136,0.0,1.0,0.0,1.0
exact_bt_mild_shift,0,ss_cbt,2-3,-0.07751263802583647,-0.22291079982412162,0.951395876555659,1.0,0.0,0.0,0.0
exact_bt_mild_shift,0,marginal_bt,2-4,-0.2369618254279901,-0.6500450032646783,-0.17179237390402033,1.0,1.0,1.0,0.0
exact_bt_mild_shift,0,source_contextual_bt,2-4,-0.2369618254279901,-0.5952723044323394,-0.07727974053389924,1.0,1.0,1.0,0.0
exact_bt_mild_shift,0,fixed_target_contextual_bt,2-4,-0.2369618254279901,-0.3301031779135629,0.24963149094120474,1.0,0.0,0.0,0.0
exact_bt_mild_shift,0,fixed_target_ci_certified_bt,2-4,-0.2369618254279901,-0.3301031779135629,0.24963149094120474,1.0,0.0,0.0,0.0
exact_bt_mild_shift,0,ss_cbt,2-4,-0.2369618254279901,-0.5261426696609062,0.4456709826885481,1.0,0.0,0.0,0.0
exact_bt_mild_shift,0,marginal_bt,2-5,-0.1585417229718393,-0.300535526295703,0.1959817203409365,1.0,0.0,0.0,0.0
exact_bt_mild_shift,0,source_contextual_bt,2-5,-0.1585417229718393,-0.28436011687208207,0.276120286097301,1.0,0.0,0.0,0.0
exact_bt_mild_shift,0,fixed_target_contextual_bt,2-5,-0.1585417229718393,-0.37058815399282063,0.28674463982610576,1.0,0.0,0.0,0.0
exact_bt_mild_shift,0,fixed_target_ci_certified_bt,2-5,-0.1585417229718393,-0.37058815399282063,0.28674463982610576,1.0,0.0,0.0,0.0
exact_bt_mild_shift,0,ss_cbt,2-5,-0.1585417229718393,-0.5703333164218974,0.4864898022551827,1.0,0.0,0.0,0.0
exact_bt_mild_shift,0,marginal_bt,2-6,-1.9120502964540385,-2.0255508861411613,-1.4506942170035813,1.0,1.0,1.0,0.0
exact_bt_mild_shift,0,source_contextual_bt,2-6,-1.9120502964540385,-2.331199518515656,-1.617785277335331,1.0,1.0,1.0,0.0
exact_bt_mild_shift,0,fixed_target_contextual_bt,2-6,-1.9120502964540385,-2.214897076009712,-1.4199793033437889,1.0,1.0,1.0,0.0
exact_bt_mild_shift,0,fixed_target_ci_certified_bt,2-6,-1.9120502964540385,-2.214897076009712,-1.4199793033437889,1.0,1.0,1.0,0.0
exact_bt_mild_shift,0,ss_cbt,2-6,-1.9120502964540385,-2.4493609050575884,-1.1855154742959124,1.0,1.0,1.0,0.0
exact_bt_mild_shift,0,marginal_bt,2-7,-0.7995788579617187,-0.7244461339898873,-0.2562173490142243,0.0,1.0,1.0,0.0
exact_bt_mild_shift,0,source_contextual_bt,2-7,-0.7995788579617187,-0.7334078544119496,-0.20453930119220448,0.0,1.0,1.0,0.0
exact_bt_mild_shift,0,fixed_target_contextual_bt,2-7,-0.7995788579617187,-0.7634140065174497,-0.16246405873674108,0.0,1.0,1.0,0.0
exact_bt_mild_shift,0,fixed_target_ci_certified_bt,2-7,-0.7995788579617187,-0.7634140065174497,-0.16246405873674108,0.0,1.0,1.0,0.0
exact_bt_mild_shift,0,ss_cbt,2-7,-0.7995788579617187,-0.8103025648741857,-0.11557550038000508,1.0,1.0,1.0,0.0
exact_bt_mild_shift,0,marginal_bt,3-4,-0.15944918740215366,-0.6006757238505932,-0.1364299180626839,1.0,1.0,1.0,0.0
exact_bt_mild_shift,0,source_contextual_bt,3-4,-0.15944918740215366,-0.5720660936386702,-0.06238879301073352,1.0,1.0,1.0,0.0
exact_bt_mild_shift,0,fixed_target_contextual_bt,3-4,-0.15944918740215366,-0.6898407891020625,-0.11911597460183299,1.0,1.0,1.0,0.0
exact_bt_mild_shift,0,fixed_target_ci_certified_bt,3-4,-0.15944918740215366,-0.6898407891020625,-0.11911597460183299,1.0,1.0,1.0,0.0
exact_bt_mild_shift,0,ss_cbt,3-4,-0.15944918740215366,-0.8182852314634438,0.00932846775954832,1.0,0.0,0.0,0.0
exact_bt_mild_shift,0,marginal_bt,3-5,-0.08102908494600286,-0.2554162346088522,0.23559416390950727,1.0,0.0,0.0,0.0
exact_bt_mild_shift,0,source_contextual_bt,3-5,-0.08102908494600286,-0.27533509083211183,0.30519241837416544,1.0,0.0,0.0,0.0
exact_bt_mild_shift,0,fixed_target_contextual_bt,3-5,-0.08102908494600286,-0.7540405732575861,-0.05828801764066621,1.0,1.0,1.0,0.0
exact_bt_mild_shift,0,fixed_target_ci_certified_bt,3-5,-0.08102908494600286,-0.7540405732575861,-0.05828801764066621,1.0,1.0,1.0,0.0
exact_bt_mild_shift,0,ss_cbt,3-5,-0.08102908494600286,-1.1333241535276684,0.32099556262941575,1.0,0.0,0.0,0.0
exact_bt_mild_shift,0,marginal_bt,3-6,-1.8345376584282023,-1.9769711553862108,-1.4145422125031102,1.0,1.0,1.0,0.0
exact_bt_mild_shift,0,source_contextual_bt,3-6,-1.8345376584282023,-2.302778633788178,-1.608109003745974,1.0,1.0,1.0,0.0
exact_bt_mild_shift,0,fixed_target_contextual_bt,3-6,-1.8345376584282023,-2.5729929944128633,-1.7903684616721742,1.0,1.0,1.0,0.0
exact_bt_mild_shift,0,fixed_target_ci_certified_bt,3-6,-1.8345376584282023,-2.5729929944128633,-1.7903684616721742,1.0,1.0,1.0,0.0
exact_bt_mild_shift,0,ss_cbt,3-6,-1.8345376584282023,-2.7996187340787477,-1.5637427220062903,1.0,1.0,1.0,0.0
exact_bt_mild_shift,0,marginal_bt,3-7,-0.7220662199358823,-0.6830472986298715,-0.21288444911881865,0.0,1.0,1.0,0.0
exact_bt_mild_shift,0,source_contextual_bt,3-7,-0.7220662199358823,-0.725914825083964,-0.1739351722033553,1.0,1.0,1.0,0.0
exact_bt_mild_shift,0,fixed_target_contextual_bt,3-7,-0.7220662199358823,-1.1474856127599011,-0.506877529225827,1.0,1.0,1.0,0.0
exact_bt_mild_shift,0,fixed_target_ci_certified_bt,3-7,-0.7220662199358823,-1.1474856127599011,-0.506877529225827,1.0,1.0,1.0,0.0
exact_bt_mild_shift,0,ss_cbt,3-7,-0.7220662199358823,-1.3959457003124431,-0.25841744167328506,1.0,1.0,1.0,0.0
