mixture,model_i,model_j,fixed_contrast,robust_lower,robust_upper,stable_order
source_mix,Alexander Zverev,Jannik Sinner,-0.8541754270566932,-1.115065118086346,-0.6262339284293544,1
source_mix,Alexander Zverev,Taylor Fritz,-0.0029742268362082675,-0.1043503173016333,0.11206655586949903,0
source_mix,Alexander Zverev,Andrey Rublev,-0.8726758666781408,-1.42989078086985,-0.34541344981163447,1
source_mix,Alexander Zverev,Daniil Medvedev,-0.7980821530470279,-1.107382604523996,-0.5853753163989693,1
source_mix,Alexander Zverev,Carlos Alcaraz,-1.4971827351123714,-2.0526885676778943,-1.054957612941271,1
source_mix,Alexander Zverev,Alex De Minaur,0.09251027859427031,0.05736603938510702,0.1280763852022811,1
source_mix,Alexander Zverev,Stefanos Tsitsipas,0.01442539060465417,-0.10278999143582503,0.11231028310597077,0
source_mix,Alexander Zverev,Casper Ruud,0.20245958269357187,0.010909738638663046,0.36238689527021417,1
source_mix,Alexander Zverev,Holger Rune,0.6663356301404674,0.4455030501669831,0.864418210096384,1
source_mix,Alexander Zverev,Tommy Paul,-0.21426286659339172,-0.2831019434996978,-0.14854673539740562,1
source_mix,Alexander Zverev,Lorenzo Musetti,1.4156095223276317,1.158554549091746,1.6642362102369708,1
source_mix,Alexander Zverev,Francisco Cerundolo,0.038112093308897796,-0.23190456072487814,0.2642186926471483,0
source_mix,Alexander Zverev,Hubert Hurkacz,0.8601945162711436,0.5391250705154244,1.1889756593787884,1
source_mix,Alexander Zverev,Grigor Dimitrov,0.10344367717013792,-0.09624320938261899,0.36333681786616145,0
source_mix,Alexander Zverev,Tallon Griekspoor,0.6406383203263976,0.3020747789710872,0.9503733032345784,1
source_mix,Jannik Sinner,Taylor Fritz,0.8512012002204851,0.7234016189917131,1.0549823093852886,1
source_mix,Jannik Sinner,Andrey Rublev,-0.01850043962144743,-0.6724867547763835,0.5570461622774223,0
source_mix,Jannik Sinner,Daniil Medvedev,0.056093274009665475,-0.07165721523307152,0.15165844571024803,0
source_mix,Jannik Sinner,Carlos Alcaraz,-0.6430073080556781,-1.1337530068725945,-0.15482405495206447,1
source_mix,Jannik Sinner,Alex De Minaur,0.9466857056509638,0.7457886811781671,1.1977506318171989,1
source_mix,Jannik Sinner,Stefanos Tsitsipas,0.8686008176613473,0.5330565837430292,1.1988143051702032,1
source_mix,Jannik Sinner,Casper Ruud,1.0566350097502653,0.6528181511177025,1.4308799863481363,1
source_mix,Jannik Sinner,Holger Rune,1.520511057197161,1.1841380110670376,1.780051780609675,1
source_mix,Jannik Sinner,Tommy Paul,0.6399125604633016,0.34313198492965674,0.9665183826889403,1
source_mix,Jannik Sinner,Lorenzo Musetti,2.269784949384325,1.870558426818325,2.574303163078469,1
source_mix,Jannik Sinner,Francisco Cerundolo,0.8922875203655911,0.41711092093560204,1.3115952597731737,1
source_mix,Jannik Sinner,Hubert Hurkacz,1.7143699433278368,1.615996290620249,1.8280642922984234,1
source_mix,Jannik Sinner,Grigor Dimitrov,0.9576191042268312,0.8056757070490567,1.1582891534999895,1
source_mix,Jannik Sinner,Tallon Griekspoor,1.494813747383091,1.4171398970574334,1.576607231663933,1
