method,stable_pair_precision,stable_pair_recall,topk_precision,topk_recall,avg_set_size
fixed_target_ci_certified_bt,0.9442858604809825,0.5970149253731343,0.6,0.6,0.6
fixed_target_contextual_bt,0.5583333333333333,1.0,0.3333333333333333,1.0,3.0
marginal_bt,0.525,0.9402985074626866,0.3333333333333333,1.0,3.0
source_contextual_bt,0.5583333333333333,1.0,0.3333333333333333,1.0,3.0
ss_cbt,0.6933253303587814,0.9671641791044776,0.6333333333333333,1.0,2.0
