mixture,model_i,model_j,fixed_contrast,robust_lower,robust_upper,stable_order
source_mix,Alexander Zverev,Jannik Sinner,-0.8541754270566932,-0.983494360204241,-0.7368290312154483,1
source_mix,Alexander Zverev,Taylor Fritz,-0.0029742268362082675,-0.036809751161416285,0.030861297488999767,0
source_mix,Alexander Zverev,Andrey Rublev,-0.8726758666781408,-1.0539280069484787,-0.6964557459584368,1
source_mix,Alexander Zverev,Daniil Medvedev,-0.7980821530470279,-0.9649935370838119,-0.6512316986026432,1
source_mix,Alexander Zverev,Carlos Alcaraz,-1.4971827351123714,-1.7262429612579624,-1.2871536683130436,1
source_mix,Alexander Zverev,Alex De Minaur,0.09251027859427031,0.08204965900367893,0.10297089818486171,1
source_mix,Alexander Zverev,Stefanos Tsitsipas,0.01442539060465417,-0.02004972176019268,0.04890050296950098,0
source_mix,Alexander Zverev,Casper Ruud,0.20245958269357187,0.14612139326565757,0.25879777212148625,1
source_mix,Alexander Zverev,Holger Rune,0.6663356301404674,0.5881952242557281,0.7406540360222554,1
source_mix,Alexander Zverev,Tommy Paul,-0.21426286659339172,-0.2422869666060983,-0.1843877661611024,1
source_mix,Alexander Zverev,Lorenzo Musetti,1.4156095223276317,1.3351186960712866,1.4946843966491172,1
source_mix,Alexander Zverev,Francisco Cerundolo,0.038112093308897796,-0.04130456964221274,0.11752875626000839,0
source_mix,Alexander Zverev,Hubert Hurkacz,0.8601945162711436,0.7124503635651299,0.9981257220252219,1
source_mix,Alexander Zverev,Grigor Dimitrov,0.10344367717013792,0.027004518141895695,0.1798828361983801,1
source_mix,Alexander Zverev,Tallon Griekspoor,0.6406383203263976,0.4761094572148069,0.7910505270430076,1
source_mix,Jannik Sinner,Taylor Fritz,0.8512012002204851,0.7527914633973076,0.9640864837215648,1
source_mix,Jannik Sinner,Andrey Rublev,-0.01850043962144743,-0.21084935584348752,0.17384847660059255,0
source_mix,Jannik Sinner,Daniil Medvedev,0.056093274009665475,-0.00014031045557919009,0.10691972512782816,0
source_mix,Jannik Sinner,Carlos Alcaraz,-0.6430073080556781,-0.7888298938812603,-0.4976152131099307,1
source_mix,Jannik Sinner,Alex De Minaur,0.9466857056509638,0.8312782969468415,1.0754972859135712,1
source_mix,Jannik Sinner,Stefanos Tsitsipas,0.8686008176613473,0.7263919562047554,1.0211672917703263,1
source_mix,Jannik Sinner,Casper Ruud,1.0566350097502653,0.8986249085307908,1.2239843349556951,1
source_mix,Jannik Sinner,Holger Rune,1.520511057197161,1.4184972879272602,1.6232579903241895,1
source_mix,Jannik Sinner,Tommy Paul,0.6399125604633016,0.4945420646093499,0.7991065940431383,1
source_mix,Jannik Sinner,Lorenzo Musetti,2.269784949384325,2.1507053431922727,2.3892596452704664,1
source_mix,Jannik Sinner,Francisco Cerundolo,0.8922875203655911,0.7183060148043613,1.0744142622902948,1
source_mix,Jannik Sinner,Hubert Hurkacz,1.7143699433278368,1.6809304289247233,1.7478094577309506,1
source_mix,Jannik Sinner,Grigor Dimitrov,0.9576191042268312,0.8785345859307442,1.0448897000749429,1
source_mix,Jannik Sinner,Tallon Griekspoor,1.494813747383091,1.459603817419048,1.5278795582584561,1
source_mix,Taylor Fritz,Andrey Rublev,-0.8697016398419326,-1.0683556547910107,-0.6737159003162568,1
source_mix,Taylor Fritz,Daniil Medvedev,-0.7951079262108196,-0.9519810256748131,-0.6598788844331046,1
source_mix,Taylor Fritz,Carlos Alcaraz,-1.4942085082761631,-1.7406706091004938,-1.2644138226708634,1
source_mix,Taylor Fritz,Alex De Minaur,0.0954845054304786,0.07210960069586195,0.1188594101650952,1
source_mix,Taylor Fritz,Stefanos Tsitsipas,0.017399617440862422,-0.05091101924919239,0.08571025413091735,0
source_mix,Taylor Fritz,Casper Ruud,0.20543380952978013,0.11526009577665769,0.2956075232829026,1
source_mix,Taylor Fritz,Holger Rune,0.6693098569766758,0.5737675764131962,0.7633938816644354,1
source_mix,Taylor Fritz,Tommy Paul,-0.21128863975718346,-0.2621304044547246,-0.16044687505964234,1
source_mix,Taylor Fritz,Lorenzo Musetti,1.41858374916384,1.314101635843693,1.5230658624839872,1
source_mix,Taylor Fritz,Francisco Cerundolo,0.04108632014510612,-0.07216586713121254,0.1543385074214247,0
