mixture,model,rank,score,certified_wins,possible_outrankers,certified_stable_topk_member,exact_stable_topk_member
clay_heavy,Hubert Hurkacz,19,-3.1349398544905607,1,18,0,0
clay_heavy,Alexander Bublik,20,-3.6417937022557805,0,19,0,0
grass_heavy,Novak Djokovic,1,1.9601848863304543,19,0,1,1
grass_heavy,Carlos Alcaraz,2,1.4050092155402434,18,1,1,1
grass_heavy,Felix Auger Aliassime,3,1.090590149535381,15,2,0,0
grass_heavy,Daniil Medvedev,4,1.0647197523501861,15,2,0,0
grass_heavy,Jannik Sinner,5,0.8834503542874463,15,2,0,0
grass_heavy,Hubert Hurkacz,6,0.26438998339496045,7,5,0,0
grass_heavy,Andrey Rublev,7,0.0,13,5,0,0
grass_heavy,Alexander Zverev,8,-0.17418848764559486,10,6,0,0
grass_heavy,Taylor Fritz,9,-0.22921602981992503,11,6,0,0
grass_heavy,Tommy Paul,10,-0.39085031322810226,7,7,0,0
grass_heavy,Cameron Norrie,11,-0.47210607180276337,7,8,0,0
grass_heavy,Alex De Minaur,12,-0.5337400011482514,7,8,0,0
grass_heavy,Lorenzo Musetti,13,-0.674939203057151,6,8,0,0
grass_heavy,Karen Khachanov,14,-0.7327525326513997,5,12,0,0
grass_heavy,Frances Tiafoe,15,-0.8900216215363946,4,14,0,0
grass_heavy,Casper Ruud,16,-1.005870504789943,4,13,0,0
grass_heavy,Lorenzo Sonego,17,-1.3105661977828993,2,16,0,0
grass_heavy,Alexander Bublik,18,-1.523658513078436,1,16,0,0
grass_heavy,Stefanos Tsitsipas,19,-1.9116022027890114,1,17,0,0
grass_heavy,Miomir Kecmanovic,20,-2.965871483378989,0,19,0,0
