mixture,model_i,model_j,fixed_contrast,robust_lower,robust_upper,stable_order
source_mix,claude-opus-4-20250514,gemini-2.5-pro,-1.0049898683573861,-1.0857397963061022,-0.9414327486104671,1
source_mix,claude-opus-4-20250514,gemini-2.5-flash,-0.38940607854698844,-0.46665014496230917,-0.3344158034563002,1
source_mix,claude-opus-4-20250514,qwen3-235b-a22b-no-thinking,-0.2520531006681897,-0.2660133891892519,-0.23764362795379976,1
source_mix,claude-opus-4-20250514,mistral-medium-2505,-0.12079971851676746,-0.16670791022335305,-0.05724370788596064,1
source_mix,claude-opus-4-20250514,o3-2025-04-16,-0.5725896103662167,-0.6258580282882285,-0.5274810217107352,1
source_mix,claude-opus-4-20250514,claude-sonnet-4-20250514,0.2683972244076989,0.20873412096062077,0.3103520713188644,1
source_mix,claude-opus-4-20250514,chatgpt-4o-latest-20250326,-0.6307252497234079,-0.6606918833785468,-0.6001086060270302,1
source_mix,gemini-2.5-pro,gemini-2.5-flash,0.6155837898103979,0.5704720738555494,0.6532878938900986,1
source_mix,gemini-2.5-pro,qwen3-235b-a22b-no-thinking,0.7529367676891966,0.6899636897141601,0.8361651251865663,1
source_mix,gemini-2.5-pro,mistral-medium-2505,0.8841901498406189,0.8035620507548521,0.9974209014590202,1
source_mix,gemini-2.5-pro,o3-2025-04-16,0.43240025799116955,0.4049977713879722,0.47260659086190704,1
source_mix,gemini-2.5-pro,claude-sonnet-4-20250514,1.273387092765085,1.2051495812791917,1.3413809067774487,1
source_mix,gemini-2.5-pro,chatgpt-4o-latest-20250326,0.3742646186339783,0.3279208697957078,0.44528465287514374,1
source_mix,gemini-2.5-flash,qwen3-235b-a22b-no-thinking,0.13735297787879874,0.09107620272515679,0.20511368774085548,1
source_mix,gemini-2.5-flash,mistral-medium-2505,0.268606360030221,0.1735592449187992,0.3901925930514106,1
source_mix,gemini-2.5-flash,o3-2025-04-16,-0.18318353181922825,-0.21868031464360704,-0.1257513983409677,1
source_mix,gemini-2.5-flash,claude-sonnet-4-20250514,0.6578033029546875,0.6124918771665672,0.7244082349961716,1
source_mix,gemini-2.5-flash,chatgpt-4o-latest-20250326,-0.24131917117641954,-0.2923381048886755,-0.1748013482655751,1
source_mix,qwen3-235b-a22b-no-thinking,mistral-medium-2505,0.13125338215142218,0.08157650367446598,0.19892362197367117,1
source_mix,qwen3-235b-a22b-no-thinking,o3-2025-04-16,-0.320536509698027,-0.37374586114974123,-0.2760119628144282,1
source_mix,qwen3-235b-a22b-no-thinking,claude-sonnet-4-20250514,0.5204503250758885,0.45270629995514367,0.573317392068319,1
