scenario,radius,method,robust_pair_precision,robust_pair_recall,false_robust_rate,topk_precision,topk_recall,topk_f1,avg_set_size
exact_bt_mild_shift,0.0,fixed_target_ci_certified_bt,0.9118580505222381,0.7440476190476191,0.08814194947776183,0.8981481481481483,0.6666666666666666,0.7425925925925926,2.25
exact_bt_mild_shift,0.0,fixed_target_ci_matched_bt,0.8690666885896354,0.8363095238095238,0.13093331141036454,0.8379629629629629,0.824074074074074,0.8296296296296296,2.9444444444444446
exact_bt_mild_shift,0.0,ss_cbt,0.9118580505222381,0.7440476190476191,0.08814194947776183,0.824074074074074,0.824074074074074,0.824074074074074,3.0
exact_bt_mild_shift,0.08,fixed_target_ci_certified_bt,0.8995606659422448,0.7805973050477881,0.10043933405775511,0.8981481481481483,0.7175925925925926,0.7749999999999999,2.25
exact_bt_mild_shift,0.08,fixed_target_ci_matched_bt,0.8415952670964748,0.8545327409216298,0.15840473290352516,0.8333333333333334,0.8333333333333334,0.825925925925926,2.8055555555555554
exact_bt_mild_shift,0.08,ss_cbt,0.9137373677753159,0.7467794593579618,0.0862626322246841,0.8333333333333334,0.8333333333333334,0.825925925925926,2.8055555555555554
exact_bt_mild_shift,0.18,fixed_target_ci_certified_bt,0.8791830461681721,0.8118312931477183,0.12081695383182797,0.8518518518518519,0.7407407407407408,0.7675925925925926,2.25
exact_bt_mild_shift,0.18,fixed_target_ci_matched_bt,0.822001777297671,0.872786931041762,0.17799822270232898,0.8194444444444444,0.8287037037037037,0.8120370370370371,2.638888888888889
exact_bt_mild_shift,0.18,ss_cbt,0.9043010123326002,0.7221219217354483,0.09569898766739975,0.8194444444444444,0.8287037037037037,0.8120370370370371,2.638888888888889
exact_bt_mild_shift,0.28,fixed_target_ci_certified_bt,0.8565027813740628,0.8321921925363954,0.14349721862593717,0.8194444444444444,0.7731481481481481,0.7703703703703704,2.25
exact_bt_mild_shift,0.28,fixed_target_ci_matched_bt,0.8154700808963384,0.8675272553533423,0.18452991910366165,0.7777777777777778,0.7638888888888888,0.7546296296296297,2.3055555555555554
exact_bt_mild_shift,0.28,ss_cbt,0.9013855876354194,0.7087408952438827,0.09861441236458063,0.7777777777777778,0.7638888888888888,0.7546296296296297,2.3055555555555554
exact_bt_mild_shift,0.38,fixed_target_ci_certified_bt,0.8336174443335007,0.8449397242068231,0.1663825556664992,0.7685185185185186,0.7916666666666666,0.7564814814814815,2.25
exact_bt_mild_shift,0.38,fixed_target_ci_matched_bt,0.8056278671808652,0.8470757996617709,0.19437213281913482,0.7962962962962963,0.7361111111111112,0.7388888888888889,2.0
exact_bt_mild_shift,0.38,ss_cbt,0.8978864784882588,0.686170453536491,0.10211352151174133,0.8055555555555556,0.7361111111111112,0.7444444444444445,1.9722222222222223
low_overlap_sparse,0.0,fixed_target_ci_certified_bt,0.9467726289041685,0.6488095238095238,0.05322737109583141,0.787037037037037,0.4444444444444444,0.5425925925925926,1.4166666666666667
