scenario,replicate,radius,method,robust_pair_precision,robust_pair_recall,false_robust_rate,topk_precision,topk_recall,topk_f1,avg_set_size,matched_ci_z
exact_bt_mild_shift,2,0.18,ss_cbt,1.0,0.875,0.0,1.0,1.0,1.0,3.0,
exact_bt_mild_shift,2,0.28,fixed_target_ci_certified_bt,1.0,1.0,0.0,1.0,1.0,1.0,3.0,
exact_bt_mild_shift,2,0.28,fixed_target_ci_matched_bt,0.8888888888888888,1.0,0.1111111111111111,1.0,1.0,1.0,3.0,0.25
exact_bt_mild_shift,2,0.28,ss_cbt,1.0,0.7916666666666666,0.0,1.0,1.0,1.0,3.0,
exact_bt_mild_shift,2,0.38,fixed_target_ci_certified_bt,1.0,1.0,0.0,1.0,1.0,1.0,3.0,
exact_bt_mild_shift,2,0.38,fixed_target_ci_matched_bt,0.8888888888888888,1.0,0.1111111111111111,1.0,1.0,1.0,3.0,0.25
exact_bt_mild_shift,2,0.38,ss_cbt,1.0,0.75,0.0,1.0,1.0,1.0,3.0,
exact_bt_mild_shift,3,0.0,fixed_target_ci_certified_bt,0.7391304347826086,0.6071428571428571,0.2608695652173913,0.5,0.3333333333333333,0.4,2.0,
exact_bt_mild_shift,3,0.0,fixed_target_ci_matched_bt,0.6785714285714286,0.6785714285714286,0.32142857142857145,0.6666666666666666,0.6666666666666666,0.6666666666666666,3.0,0.25
exact_bt_mild_shift,3,0.0,ss_cbt,0.7391304347826086,0.6071428571428571,0.2608695652173913,0.6666666666666666,0.6666666666666666,0.6666666666666666,3.0,
exact_bt_mild_shift,3,0.08,fixed_target_ci_certified_bt,0.7391304347826086,0.68,0.2608695652173913,0.5,0.5,0.5,2.0,
exact_bt_mild_shift,3,0.08,fixed_target_ci_matched_bt,0.6428571428571429,0.72,0.35714285714285715,0.3333333333333333,0.5,0.4,3.0,0.25
exact_bt_mild_shift,3,0.08,ss_cbt,0.7391304347826086,0.68,0.2608695652173913,0.3333333333333333,0.5,0.4,3.0,
exact_bt_mild_shift,3,0.18,fixed_target_ci_certified_bt,0.6956521739130435,0.6956521739130435,0.30434782608695654,0.5,0.5,0.5,2.0,
exact_bt_mild_shift,3,0.18,fixed_target_ci_matched_bt,0.6153846153846154,0.6956521739130435,0.38461538461538464,0.5,0.5,0.5,2.0,0.4
exact_bt_mild_shift,3,0.18,ss_cbt,0.6956521739130435,0.6956521739130435,0.30434782608695654,0.5,0.5,0.5,2.0,
exact_bt_mild_shift,3,0.28,fixed_target_ci_certified_bt,0.6956521739130435,0.7272727272727273,0.30434782608695654,0.5,0.5,0.5,2.0,
exact_bt_mild_shift,3,0.28,fixed_target_ci_matched_bt,0.6153846153846154,0.7272727272727273,0.38461538461538464,0.5,0.5,0.5,2.0,0.4
exact_bt_mild_shift,3,0.28,ss_cbt,0.6818181818181818,0.6818181818181818,0.3181818181818182,0.5,0.5,0.5,2.0,
exact_bt_mild_shift,3,0.38,fixed_target_ci_certified_bt,0.6956521739130435,0.7272727272727273,0.30434782608695654,0.5,0.5,0.5,2.0,
exact_bt_mild_shift,3,0.38,fixed_target_ci_matched_bt,0.6153846153846154,0.7272727272727273,0.38461538461538464,0.5,0.5,0.5,2.0,0.4
exact_bt_mild_shift,3,0.38,ss_cbt,0.6666666666666666,0.6363636363636364,0.3333333333333333,0.5,0.5,0.5,2.0,
exact_bt_mild_shift,4,0.0,fixed_target_ci_certified_bt,1.0,0.7857142857142857,0.0,1.0,0.6666666666666666,0.8,2.0,
exact_bt_mild_shift,4,0.0,fixed_target_ci_matched_bt,0.9615384615384616,0.8928571428571429,0.038461538461538464,1.0,1.0,1.0,3.0,0.25
exact_bt_mild_shift,4,0.0,ss_cbt,1.0,0.7857142857142857,0.0,1.0,1.0,1.0,3.0,
exact_bt_mild_shift,4,0.08,fixed_target_ci_certified_bt,1.0,0.8461538461538461,0.0,1.0,0.6666666666666666,0.8,2.0,
exact_bt_mild_shift,4,0.08,fixed_target_ci_matched_bt,0.9230769230769231,0.9230769230769231,0.07692307692307693,1.0,1.0,1.0,3.0,0.25
exact_bt_mild_shift,4,0.08,ss_cbt,1.0,0.8461538461538461,0.0,1.0,1.0,1.0,3.0,
exact_bt_mild_shift,4,0.18,fixed_target_ci_certified_bt,1.0,0.9166666666666666,0.0,1.0,0.6666666666666666,0.8,2.0,
exact_bt_mild_shift,4,0.18,fixed_target_ci_matched_bt,0.9230769230769231,1.0,0.07692307692307693,1.0,1.0,1.0,3.0,0.25
exact_bt_mild_shift,4,0.18,ss_cbt,1.0,0.625,0.0,1.0,1.0,1.0,3.0,
exact_bt_mild_shift,4,0.28,fixed_target_ci_certified_bt,0.9545454545454546,0.9130434782608695,0.045454545454545456,1.0,0.6666666666666666,0.8,2.0,
exact_bt_mild_shift,4,0.28,fixed_target_ci_matched_bt,0.9545454545454546,0.9130434782608695,0.045454545454545456,1.0,0.6666666666666666,0.8,2.0,1.5
exact_bt_mild_shift,4,0.28,ss_cbt,1.0,0.5217391304347826,0.0,1.0,0.6666666666666666,0.8,2.0,
exact_bt_mild_shift,4,0.38,fixed_target_ci_certified_bt,0.9090909090909091,0.9090909090909091,0.09090909090909091,0.5,0.5,0.5,2.0,
exact_bt_mild_shift,4,0.38,fixed_target_ci_matched_bt,0.9047619047619048,0.8636363636363636,0.09523809523809523,1.0,0.5,0.6666666666666666,1.0,2.1500000000000004
exact_bt_mild_shift,4,0.38,ss_cbt,1.0,0.5,0.0,1.0,0.5,0.6666666666666666,1.0,
exact_bt_mild_shift,5,0.0,fixed_target_ci_certified_bt,1.0,0.9285714285714286,0.0,1.0,1.0,1.0,3.0,
exact_bt_mild_shift,5,0.0,fixed_target_ci_matched_bt,0.9642857142857143,0.9642857142857143,0.03571428571428571,1.0,1.0,1.0,3.0,0.25
exact_bt_mild_shift,5,0.0,ss_cbt,1.0,0.9285714285714286,0.0,1.0,1.0,1.0,3.0,
exact_bt_mild_shift,5,0.08,fixed_target_ci_certified_bt,1.0,0.9629629629629629,0.0,1.0,1.0,1.0,3.0,
exact_bt_mild_shift,5,0.08,fixed_target_ci_matched_bt,0.9642857142857143,1.0,0.03571428571428571,1.0,1.0,1.0,3.0,0.25
exact_bt_mild_shift,5,0.08,ss_cbt,1.0,0.9259259259259259,0.0,1.0,1.0,1.0,3.0,
exact_bt_mild_shift,5,0.18,fixed_target_ci_certified_bt,1.0,0.9629629629629629,0.0,1.0,1.0,1.0,3.0,
exact_bt_mild_shift,5,0.18,fixed_target_ci_matched_bt,0.9642857142857143,1.0,0.03571428571428571,1.0,1.0,1.0,3.0,0.25
exact_bt_mild_shift,5,0.18,ss_cbt,1.0,0.9259259259259259,0.0,1.0,1.0,1.0,3.0,
exact_bt_mild_shift,5,0.28,fixed_target_ci_certified_bt,1.0,0.9629629629629629,0.0,1.0,1.0,1.0,3.0,
exact_bt_mild_shift,5,0.28,fixed_target_ci_matched_bt,0.9642857142857143,1.0,0.03571428571428571,1.0,1.0,1.0,3.0,0.25
exact_bt_mild_shift,5,0.28,ss_cbt,1.0,0.9259259259259259,0.0,1.0,1.0,1.0,3.0,
exact_bt_mild_shift,5,0.38,fixed_target_ci_certified_bt,1.0,0.9629629629629629,0.0,1.0,1.0,1.0,3.0,
exact_bt_mild_shift,5,0.38,fixed_target_ci_matched_bt,1.0,0.9259259259259259,0.0,1.0,0.6666666666666666,0.8,2.0,1.7000000000000002
exact_bt_mild_shift,5,0.38,ss_cbt,1.0,0.7777777777777778,0.0,1.0,0.6666666666666666,0.8,2.0,
exact_bt_mild_shift,6,0.0,fixed_target_ci_certified_bt,1.0,0.8571428571428571,0.0,1.0,1.0,1.0,3.0,
exact_bt_mild_shift,6,0.0,fixed_target_ci_matched_bt,0.9629629629629629,0.9285714285714286,0.037037037037037035,1.0,1.0,1.0,3.0,0.25
exact_bt_mild_shift,6,0.0,ss_cbt,1.0,0.8571428571428571,0.0,1.0,1.0,1.0,3.0,
exact_bt_mild_shift,6,0.08,fixed_target_ci_certified_bt,1.0,0.9230769230769231,0.0,1.0,1.0,1.0,3.0,
exact_bt_mild_shift,6,0.08,fixed_target_ci_matched_bt,0.9259259259259259,0.9615384615384616,0.07407407407407407,1.0,1.0,1.0,3.0,0.25
exact_bt_mild_shift,6,0.08,ss_cbt,1.0,0.9230769230769231,0.0,1.0,1.0,1.0,3.0,
exact_bt_mild_shift,6,0.18,fixed_target_ci_certified_bt,0.9166666666666666,0.9565217391304348,0.08333333333333333,0.6666666666666666,1.0,0.8,3.0,
exact_bt_mild_shift,6,0.18,fixed_target_ci_matched_bt,0.8518518518518519,1.0,0.14814814814814814,0.6666666666666666,1.0,0.8,3.0,0.25
exact_bt_mild_shift,6,0.18,ss_cbt,0.9130434782608695,0.9130434782608695,0.08695652173913043,0.6666666666666666,1.0,0.8,3.0,
exact_bt_mild_shift,6,0.28,fixed_target_ci_certified_bt,0.9166666666666666,0.9565217391304348,0.08333333333333333,0.6666666666666666,1.0,0.8,3.0,
exact_bt_mild_shift,6,0.28,fixed_target_ci_matched_bt,0.8518518518518519,1.0,0.14814814814814814,0.6666666666666666,1.0,0.8,3.0,0.25
exact_bt_mild_shift,6,0.28,ss_cbt,1.0,0.8695652173913043,0.0,0.6666666666666666,1.0,0.8,3.0,
exact_bt_mild_shift,6,0.38,fixed_target_ci_certified_bt,0.9166666666666666,0.9565217391304348,0.08333333333333333,0.6666666666666666,1.0,0.8,3.0,
exact_bt_mild_shift,6,0.38,fixed_target_ci_matched_bt,0.8518518518518519,1.0,0.14814814814814814,0.6666666666666666,1.0,0.8,3.0,0.25
exact_bt_mild_shift,6,0.38,ss_cbt,1.0,0.8260869565217391,0.0,0.6666666666666666,1.0,0.8,3.0,
exact_bt_mild_shift,7,0.0,fixed_target_ci_certified_bt,1.0,0.8571428571428571,0.0,1.0,0.3333333333333333,0.5,1.0,
exact_bt_mild_shift,7,0.0,fixed_target_ci_matched_bt,0.9285714285714286,0.9285714285714286,0.07142857142857142,0.6666666666666666,0.6666666666666666,0.6666666666666666,3.0,0.25
exact_bt_mild_shift,7,0.0,ss_cbt,1.0,0.8571428571428571,0.0,0.6666666666666666,0.6666666666666666,0.6666666666666666,3.0,
exact_bt_mild_shift,7,0.08,fixed_target_ci_certified_bt,1.0,0.8571428571428571,0.0,1.0,0.3333333333333333,0.5,1.0,
exact_bt_mild_shift,7,0.08,fixed_target_ci_matched_bt,0.9615384615384616,0.8928571428571429,0.038461538461538464,1.0,0.6666666666666666,0.8,2.0,0.75
